country,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25,record_count
Gambia,24.72945205479452,0.12461643835616439,70.09178082191781,32.191794520547944,730
Guyana,24.58504801097394,0.44994513031550065,94.79423868312757,10.882510288065845,729
Bahamas,24.579945054945057,0.06712912087912087,80.75,8.84048076923077,728
USA United States of America,24.53333333333333,0.53,66.0,3.7999999999999994,3
Nicaragua,24.37785419532325,0.11685006877579092,83.93122420907841,8.66242090784044,727
Suriname,24.364520547945204,0.1760821917808219,93.32191780821918,9.189150684931507,730
Senegal,24.312942779291554,0.03435967302452316,77.49318801089919,34.536696185286104,734
Malásia,24.3,1.55,93.0,1.8,1
Польша,24.2,0.0,56.0,2.5,1
Brazil,24.129903978052127,0.2064883401920439,83.96159122085048,9.608189300411523,729
Cyprus,24.11869031377899,0.029658935879945426,51.653478854024556,13.758547066848566,733
Tonga,24.057045143638852,0.19246238030095758,87.484268125855,8.332229822161421,731
Zambia,24.050068212824012,0.10076398362892224,49.17326057298772,11.508165075034107,733
Malawi,23.957708049113233,0.10818553888130968,56.24693042291951,9.82943383356071,733
Cape Verde,23.894542974079126,0.012114597544338336,71.49931787175989,24.47079809004093,733
Dominican Republic,23.884383561643833,0.12893150684931506,94.3890410958904,12.839746575342465,730
El Salvador,23.592011019283746,0.22900826446280992,86.74517906336088,20.768643250688704,726
Rwanda,23.579126875852662,0.18264665757162346,61.51432469304229,27.00924283765348,733
Mauritania,23.345901639344262,0.006830601092896175,56.310109289617486,67.46889344262296,732
Estonie,23.3,0.0,61.0,17.6,1
Israel,23.19289617486339,0.013743169398907105,50.221311475409834,20.746714480874317,732
كولومبيا,23.1,0.05,95.0,0.5,1
Lebanon,23.01571038251366,0.06155737704918033,59.76229508196721,29.087411202185795,732
Cote d'Ivoire,23.011764705882353,0.03676470588235294,92.04779411764706,9.54454044117647,272
Nepal,22.962978142076505,0.44846994535519125,57.70765027322405,46.010443989071035,732
Zimbabwe,22.888645690834473,0.09404924760601915,44.59781121751026,17.48922024623803,731
Botswana,22.79577080491132,0.053274215552523874,52.336971350613915,14.890136425648022,733
Venezuela,22.692886456908344,0.07975376196990423,82.91792065663475,15.050205198358414,731
Cuba,22.622770919067214,0.031659807956104256,91.70644718792867,9.886714677640603,729
Turkmenistan,22.416939890710385,0.023784153005464482,40.795081967213115,19.495273224043718,732
Tajikistan,22.324760601915184,0.0654719562243502,38.40766073871409,17.977441860465117,731
Belize,22.088324175824173,0.12266483516483516,95.74587912087912,7.079681318681319,728
Yemen,22.019781718963166,0.038362892223738065,25.231923601637106,23.60206002728513,733
Namibia,21.905047748976806,0.026234652114597544,39.16371077762619,6.5931446111869025,733
